,0,1,2,3
16,(5.982666634324874e-16+0j),(0.0152809582729188+0j),(-0.007952335427743398-0j),(-5.88418203051333e-16-0j)
17,(-1.4042464106209366e-15-0j),(0.017564690473967054+0j),(-0.004521088968151407-0j),(1.3988810110276974e-15+0j)
18,(2.6732787386050397e-16+0j),(0.018081599741236166+0j),(-0.003896896495956051-0j),(-2.636779683484747e-16-0j)
19,(-1.3348331816906085e-15-0j),(0.02456819179339923+0j),(-0.010284359355376603-0j),(1.3267165144270622e-15+0j)
20,(-4.353851082722484e-16-0j),(0.030854957689516873+0j),(-0.012622482691166071-0j),(4.218847493575595e-16+0j)
21,(1.5725011674771004e-16+0j),(0.03673411929562938+0j),(-0.012192822082588813-0j),(-1.4432899320127036e-16-0j)
22,(-1.0518423504568849e-15-0j),(0.04396987467959644+0j),(-0.011977642748805391-0j),(1.049160758270773e-15+0j)
23,(2.797014097588771e-16+0j),(0.05014201116113684+0j),(-0.017283211277419643-0j),(-2.609024107869118e-16-0j)
24,(-1.521728476928255e-15-0j),(0.06295642294637835+0j),(-0.02201924152311806-0j),(1.4210854715202005e-15+0j)
25,(1.5077995990243213e-15+0j),(0.07303781546232967+0j),(-0.022266998080258008-0j),(-1.3877787807814457e-15-0j)
26,(-4.544196065321618e-15-0j),(0.08947882367726541+0j),(-0.026658731049658088-0j),(4.0856207306205765e-15+0j)
27,(-6.446850441541737e-16-0j),(0.10462352295187952+0j),(-0.033189502156526295-0j),(5.88418203051333e-16+0j)
28,(1.338865738284244e-15+0j),(0.12178957699453885+0j),(-0.042656748681114645-0j),(-1.0880185641326535e-15-0j)
29,(-9.1166911485612e-16-0j),(0.13954210829362998+0j),(-0.04397356412990136-0j),(6.439293542825909e-16+0j)
30,(-8.819005602364904e-16-0j),(0.15537669312772168+0j),(-0.05029076782980803-0j),(5.218048215738236e-16+0j)
31,(-1.2111103832247261e-15-0j),(0.1697636693878569+0j),(-0.05289878842212195-0j),(5.440092820663267e-16+0j)
32,(4.980029002457398e-15+0j),(0.17960470473299725+0j),(-0.05699915017085033-0j),(-1.3378187446733137e-15-0j)
33,(-7.133384944542458e-15-0j),(0.18388880795300186+0j),(-0.05725062145787481-0j),(8.132383655379272e-16+0j)
34,(3.3010570517593806e-18+0j),(0.18118440703173866+0j),(-0.05197799804273569-0j),0j
35,(6.0566576575678256e-15+0j),(0.1715057005408699+0j),(-0.05116194340315732-0j),(1.6431300764452318e-15+0j)
36,(3.023262895375597e-15+0j),(0.15610942392583185+0j),(-0.046377098464511594-0j),(1.254552017826427e-15+0j)
37,(1.2684446653568054e-15+0j),(0.14341867358363497+0j),(-0.03651538095848589-0j),(7.327471962526034e-16+0j)
38,(7.849633446336777e-15+0j),(0.12362804281988005+0j),(-0.036025507897119106-0j),(5.5067062021407766e-15+0j)
39,(-3.819366152127464e-15-0j),(0.10637555119267905+0j),(-0.029546360904679093-0j),(-2.9976021664879227e-15-0j)
40,0j,(0.09157511124060894+0j),(-0.02692626568183236-0j),0j
41,(-6.22307695539308e-16-0j),(0.07880682267435868+0j),(-0.02521132303184084-0j),(-5.773159728050814e-16-0j)
42,(-1.2466736651982352e-15-0j),(0.061547752178265906+0j),(-0.01067795839317636-0j),(-1.1546319456101628e-15-0j)
43,0j,(0.0535622891678364+0j),(-0.01786831143417472-0j),(5.551115123125783e-18+0j)
44,(4.277908937016889e-16+0j),(0.045796530662604+0j),(-0.010820761663536087-0j),(4.052314039881822e-16+0j)
45,(-7.514498968588e-17-0j),(0.037226700210380936+0j),(-0.007870788044480563-0j),(-6.66133814775094e-17-0j)
46,0j,(0.027586219592615653+0j),(-0.013176776692928875-0j),(1.1102230246251566e-17+0j)
47,(-4.481106942370588e-16-0j),(0.02409583522035203+0j),(-0.006842027284791389-0j),(-4.524158825347513e-16-0j)
48,(-3.1405781046406465e-16-0j),(0.022813017376706546+0j),(-0.003610999026108168-0j),(-3.08086889333481e-16-0j)
49,(-7.506078797749748e-17-0j),(0.01622594039857439+0j),(-0.005309535470737702-0j),(-8.049116928532386e-17-0j)
